,Unnamed: 0,question,masked_question,masked_question_toks,query,schema_toks,tables,columns,sql_keywords,join_involved,keywords_pred,accuracy_on_target,accuracy_on_prediction
2848,2848,Find the names of customers who are not living in the state of California.,Find the [MASK] of [MASK] who are not living in the [MASK] of California.,"['Find', 'the', '[MASK]', 'of', '[MASK]', 'who', 'are', 'not', 'living', 'in', 'the', '[MASK]', 'of', 'California.']",SELECT customer_name FROM customers EXCEPT SELECT t1.customer_name FROM customers AS t1 JOIN customer_addresses AS t2 ON t1.customer_id  =  t2.customer_id JOIN addresses AS t3 ON t2.address_id  =  t3.address_id WHERE t3.state_province_county  =  'California',"['addresses', 'customers', 'customers', 'customer_addresses', 'customer_id', 'address_id', 'state_province_county', 'customer_name']","[('addresses', 't3'), ('customers', ''), ('customers', 't1'), ('customer_addresses', 't2')]","['customer_id', 'address_id', 'state_province_county', 'customer_name']","as,except,join,where,select,from",True,['where'],0.25,1.0
1377,1377,Give the name of the department with the lowest budget.,Give the [MASK] of the [MASK] with the lowest [MASK],"['Give', 'the', '[MASK]', 'of', 'the', '[MASK]', 'with', 'the', 'lowest', '[MASK]']",SELECT dept_name FROM department ORDER BY budget LIMIT 1,"['department', 'budget', 'dept_name']","[('department', '')]","['budget', 'dept_name']","select,limit,order,from",False,"['limit', 'order']",1.0,1.0
6043,6043,Show the game name that has most number of hours played.,Show the [MASK] [MASK] that has most number of [MASK] [MASK],"['Show', 'the', '[MASK]', '[MASK]', 'that', 'has', 'most', 'number', 'of', '[MASK]', '[MASK]']",SELECT gname FROM Plays_games AS T1 JOIN Video_games AS T2 ON T1.gameid  =  T2.gameid GROUP BY T1.gameid ORDER BY sum(hours_played) DESC LIMIT 1,"['Plays_games', 'Video_games', 'gname', 'gameid', 'hours_played']","[('Plays_games', 'T1'), ('Video_games', 'T2')]","['gname', 'gameid', 'hours_played']","as,group,join,limit,sum,order,select,desc,from",True,"['group', 'limit', 'count', 'order', 'desc']",0.5714285714285714,0.8
1349,1349,What are the titles of courses without prerequisites?,What are the [MASK] of [MASK] without [MASK],"['What', 'are', 'the', '[MASK]', 'of', '[MASK]', 'without', '[MASK]']",SELECT title FROM course WHERE course_id NOT IN (SELECT course_id FROM prereq),"['course', 'prereq', 'course_id', 'title']","[('course', ''), ('prereq', '')]","['course_id', 'title']","where,in,not,select,from",False,"['where', 'in', 'not']",1.0,1.0
4592,4592,Show the product type codes that have both products with price higher than 4500 and products with price lower than 3000.,Show the [MASK] [MASK] [MASK] that have both [MASK] with [MASK] higher than 4500 and [MASK] with [MASK] lower than 3000.,"['Show', 'the', '[MASK]', '[MASK]', '[MASK]', 'that', 'have', 'both', '[MASK]', 'with', '[MASK]', 'higher', 'than', '4500', 'and', '[MASK]', 'with', '[MASK]', 'lower', 'than', '3000.']",SELECT Product_Type_Code FROM Products WHERE Product_Price  >  4500 INTERSECT SELECT Product_Type_Code FROM Products WHERE Product_Price  <  3000,"['Products', 'Product_Price', 'Product_Type_Code']","[('Products', '')]","['Product_Price', 'Product_Type_Code']","intersect,select,from,where",False,"['intersect', 'where']",1.0,1.0
842,842,Count the number of tracks that are part of the rock genre.,Count the number of [MASK] that are [MASK] of the [MASK] [MASK],"['Count', 'the', 'number', 'of', '[MASK]', 'that', 'are', '[MASK]', 'of', 'the', '[MASK]', '[MASK]']","SELECT COUNT(*) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId  =  T2.GenreId WHERE T1.Name  =  ""Rock""","['GENRE', 'TRACK', 'Name', 'Rock', 'GenreId']","[('GENRE', 'T1'), ('TRACK', 'T2')]","['Name', 'Rock', 'GenreId']","as,join,count,where,select,from",True,"['as', 'join', 'count', 'where']",1.0,1.0
1968,1968,How many different product types are there?,How many different [MASK] [MASK] are there?,"['How', 'many', 'different', '[MASK]', '[MASK]', 'are', 'there?']",SELECT count(DISTINCT product_type_code) FROM products_for_hire,"['products_for_hire', 'product_type_code']","[('products_for_hire', '')]",['product_type_code'],"distinct,select,count,from",False,"['distinct', 'count']",1.0,1.0
70,70,How many students are attending English courses?,How many [MASK] are [MASK] [MASK] [MASK],"['How', 'many', '[MASK]', 'are', '[MASK]', '[MASK]', '[MASK]']","SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""English""","['student_course_attendance', 'courses', 'course_id', 'English', 'course_name']","[('student_course_attendance', 'T2'), ('courses', 'T1')]","['course_id', 'English', 'course_name']","as,join,count,where,select,from",True,"['as', 'join', 'count', 'where']",1.0,1.0
4562,4562,"For each company, return the company name and the name of the building its office is located in.",For each [MASK] return the [MASK] [MASK] and the [MASK] of the [MASK] its [MASK] is [MASK] in.,"['For', 'each', '[MASK]', 'return', 'the', '[MASK]', '[MASK]', 'and', 'the', '[MASK]', 'of', 'the', '[MASK]', 'its', '[MASK]', 'is', '[MASK]', 'in.']","SELECT T3.name ,  T2.name FROM Office_locations AS T1 JOIN buildings AS T2 ON T1.building_id  =  T2.id JOIN Companies AS T3 ON T1.company_id  =  T3.id","['Companies', 'Office_locations', 'buildings', 'company_id', 'building_id', 'id', 'name']","[('Companies', 'T3'), ('Office_locations', 'T1'), ('buildings', 'T2')]","['company_id', 'building_id', 'id', 'name']","select,join,from,as",True,"['as', 'join']",1.0,1.0
1663,1663,How many exhibition are there in year 2005 or after?,How many [MASK] are there in [MASK] 2005 or after?,"['How', 'many', '[MASK]', 'are', 'there', 'in', '[MASK]', '2005', 'or', 'after?']",SELECT count(*) FROM exhibition WHERE YEAR  >=  2005,"['exhibition', 'YEAR']","[('exhibition', '')]",['YEAR'],"select,count,from,where",False,"['where', 'sum']",0.5,0.5
46,46,List the most common type of Status across cities.,List the most common type of [MASK] across cities.,"['List', 'the', 'most', 'common', 'type', 'of', '[MASK]', 'across', 'cities.']",SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1,"['city', 'Status']","[('city', '')]",['Status'],"group,limit,count,order,select,desc,from",False,"['group', 'limit', 'count', 'order', 'desc']",1.0,1.0
1163,1163,List each birth place along with the number of people from there.,List each [MASK] [MASK] along with the number of [MASK] from there.,"['List', 'each', '[MASK]', '[MASK]', 'along', 'with', 'the', 'number', 'of', '[MASK]', 'from', 'there.']","SELECT Birth_Place ,  COUNT(*) FROM people GROUP BY Birth_Place","['people', 'Birth_Place']","[('people', '')]",['Birth_Place'],"select,count,from,group",False,"['group', 'count']",1.0,1.0
4493,4493,Show the names of members and the locations of colleges they go to in ascending alphabetical order of member names.,Show the [MASK] of [MASK] and the [MASK] of [MASK] they go to in ascending alphabetical order of [MASK] [MASK],"['Show', 'the', '[MASK]', 'of', '[MASK]', 'and', 'the', '[MASK]', 'of', '[MASK]', 'they', 'go', 'to', 'in', 'ascending', 'alphabetical', 'order', 'of', '[MASK]', '[MASK]']","SELECT T2.Name ,  T1.College_Location FROM college AS T1 JOIN member AS T2 ON T1.College_ID  =  T2.College_ID ORDER BY T2.Name ASC","['college', 'member', 'Name', 'College_ID', 'College_Location']","[('college', 'T1'), ('member', 'T2')]","['Name', 'College_ID', 'College_Location']","asc,as,join,order,select,from",True,"['asc', 'as', 'join', 'order']",1.0,1.0
2873,2873,"What is the name of the institution the author ""Katsuhiro Ueno"" belongs to?",What is the [MASK] of the [MASK] the [MASK] [MASK] [MASK] belongs to?,"['What', 'is', 'the', '[MASK]', 'of', 'the', '[MASK]', 'the', '[MASK]', '[MASK]', '[MASK]', 'belongs', 'to?']","SELECT DISTINCT t3.name FROM authors AS t1 JOIN authorship AS t2 ON t1.authid  =  t2.authid JOIN inst AS t3 ON t2.instid  =  t3.instid WHERE t1.fname  =  ""Katsuhiro"" AND t1.lname  =  ""Ueno""","['inst', 'authors', 'authorship', 'Katsuhiro', 'Ueno', 'authid', 'name', 'instid', 'lname', 'fname']","[('inst', 't3'), ('authors', 't1'), ('authorship', 't2')]","['Katsuhiro', 'Ueno', 'authid', 'name', 'instid', 'lname', 'fname']","distinct,as,join,and,where,select,from",True,['where'],0.2,1.0
5763,5763,What are the first and last names of all students who are living in a dorm with a TV Lounge?,What are the first and last [MASK] of all [MASK] who are living [MASK] a [MASK] with a TV Lounge?,"['What', 'are', 'the', 'first', 'and', 'last', '[MASK]', 'of', 'all', '[MASK]', 'who', 'are', 'living', '[MASK]', 'a', '[MASK]', 'with', 'a', 'TV', 'Lounge?']","SELECT T1.fname ,  T1.lname FROM student AS T1 JOIN lives_in AS T2 ON T1.stuid  =  T2.stuid WHERE T2.dormid IN (SELECT T3.dormid FROM has_amenity AS T3 JOIN dorm_amenity AS T4 ON T3.amenid  =  T4.amenid WHERE T4.amenity_name  =  'TV Lounge')","['student', 'lives_in', 'has_amenity', 'dorm_amenity', 'amenity_name', 'lname', 'fname', 'dormid', 'amenid', 'stuid']","[('student', 'T1'), ('lives_in', 'T2'), ('has_amenity', 'T3'), ('dorm_amenity', 'T4')]","['amenity_name', 'lname', 'fname', 'dormid', 'amenid', 'stuid']","as,in,join,from,select,where",True,"['as', 'in', 'join', 'not', 'where']",1.0,0.8
2931,2931,Give the districts which have two or more addresses.,Give the [MASK] which have two or more [MASK],"['Give', 'the', '[MASK]', 'which', 'have', 'two', 'or', 'more', '[MASK]']",SELECT district FROM address GROUP BY district HAVING count(*)  >=  2,"['address', 'district']","[('address', '')]",['district'],"group,count,having,select,from",False,"['group', 'count', 'having']",1.0,1.0
784,784,"What are the names and dates of races, and the names of the tracks where they are held?",What are the [MASK] and [MASK] of [MASK] and the [MASK] of the [MASK] where they are held?,"['What', 'are', 'the', '[MASK]', 'and', '[MASK]', 'of', '[MASK]', 'and', 'the', '[MASK]', 'of', 'the', '[MASK]', 'where', 'they', 'are', 'held?']","SELECT T1.name ,  T1.date ,  T2.name FROM race AS T1 JOIN track AS T2 ON T1.track_id  =  T2.track_id","['track', 'race', 'track_id', 'date', 'name']","[('track', 'T2'), ('race', 'T1')]","['track_id', 'date', 'name']","select,join,from,as",True,"['join', 'as']",1.0,1.0
5659,5659,Show the names of customers who have both an order in completed status and an order in part status.,Show the [MASK] of [MASK] who have both an [MASK] in completed [MASK] and an [MASK] in [MASK] [MASK],"['Show', 'the', '[MASK]', 'of', '[MASK]', 'who', 'have', 'both', 'an', '[MASK]', 'in', 'completed', '[MASK]', 'and', 'an', '[MASK]', 'in', '[MASK]', '[MASK]']",SELECT T1.customer_name FROM customers AS T1 JOIN customer_orders AS T2 ON T1.customer_id  =  T2.customer_id WHERE T2.order_status_code  =  'Completed' INTERSECT SELECT T1.customer_name FROM customers AS T1 JOIN customer_orders AS T2 ON T1.customer_id  =  T2.customer_id WHERE T2.order_status_code  =  'Part',"['customer_orders', 'customers', 'customer_id', 'order_status_code', 'customer_name']","[('customer_orders', 'T2'), ('customers', 'T1')]","['customer_id', 'order_status_code', 'customer_name']","intersect,as,join,from,select,where",True,"['intersect', 'where']",0.5,1.0
4797,4797,How many aircrafts are there?,How many [MASK] are there?,"['How', 'many', '[MASK]', 'are', 'there?']",SELECT count(*) FROM aircraft,['aircraft'],"[('aircraft', '')]",[],"select,count,from",False,['count'],1.0,1.0
422,422,What are the ids of all employees that don't have certificates?,What are the [MASK] of all [MASK] that don't have [MASK],"['What', 'are', 'the', '[MASK]', 'of', 'all', '[MASK]', 'that', ""don't"", 'have', '[MASK]']",SELECT eid FROM Employee EXCEPT SELECT eid FROM Certificate,"['Certificate', 'Employee', 'eid']","[('Certificate', ''), ('Employee', '')]",['eid'],"select,except,from",False,"['where', 'in', 'not']",0.0,0.0
5271,5271,How many songs appear in studio albums?,How many [MASK] appear in [MASK] [MASK],"['How', 'many', '[MASK]', 'appear', 'in', '[MASK]', '[MASK]']","SELECT count(DISTINCT T3.title) FROM albums AS T1 JOIN tracklists AS T2 ON T1.aid  =  T2.albumid JOIN songs AS T3 ON T2.songid  =  T3.songid WHERE t1.type  =  ""Studio""","['songs', 'tracklists', 'albums', 'albumid', 'title', 'Studio', 'aid', 'type', 'songid']","[('songs', 'T3'), ('tracklists', 'T2'), ('albums', 'T1')]","['albumid', 'title', 'Studio', 'aid', 'type', 'songid']","distinct,as,join,count,where,select,from",True,"['count', 'where']",0.4,1.0
924,924,"Which customers have used both the service named ""Close a policy"" and the service named ""Upgrade a policy""? Give me the customer names.","Which [MASK] have used both the [MASK] [MASK] [MASK] a [MASK] and the [MASK] [MASK] ""Upgrade a [MASK] Give me the [MASK] [MASK]","['Which', '[MASK]', 'have', 'used', 'both', 'the', '[MASK]', '[MASK]', '[MASK]', 'a', '[MASK]', 'and', 'the', '[MASK]', '[MASK]', '""Upgrade', 'a', '[MASK]', 'Give', 'me', 'the', '[MASK]', '[MASK]']","SELECT t1.customer_name FROM customers AS t1 JOIN first_notification_of_loss AS t2 ON t1.customer_id  =  t2.customer_id JOIN services AS t3 ON t2.service_id  =  t3.service_id WHERE t3.service_name  =  ""Close a policy"" INTERSECT SELECT t1.customer_name FROM customers AS t1 JOIN first_notification_of_loss AS t2 ON t1.customer_id  =  t2.customer_id JOIN services AS t3 ON t2.service_id  =  t3.service_id WHERE t3.service_name  =  ""New policy application""","['services', 'customers', 'first_notification_of_loss', 'New policy application', 'service_id', 'service_name', 'customer_name', 'Close a policy', 'customer_id']","[('services', 't3'), ('customers', 't1'), ('first_notification_of_loss', 't2')]","['New policy application', 'service_id', 'service_name', 'customer_name', 'Close a policy', 'customer_id']","intersect,as,join,from,select,where",True,"['as', 'join', 'where', 'distinct']",0.75,0.75
925,925,"Find the IDs of customers whose name contains ""Diana"".",Find the IDs of [MASK] whose [MASK] contains [MASK],"['Find', 'the', 'IDs', 'of', '[MASK]', 'whose', '[MASK]', 'contains', '[MASK]']","SELECT customer_id FROM customers WHERE customer_name LIKE ""%Diana%""","['customers', 'customer_id', '%Diana%', 'customer_name']","[('customers', '')]","['customer_id', '%Diana%', 'customer_name']","select,like,from,where",False,"['like', 'where']",1.0,1.0
1694,1694,Find the highest rank of all reviews.,Find the highest [MASK] of all [MASK],"['Find', 'the', 'highest', '[MASK]', 'of', 'all', '[MASK]']",SELECT min(rank) FROM review,"['review', 'rank']","[('review', '')]",['rank'],"select,min,from",False,"['as', 'join', 'limit', 'order', 'desc']",0.0,0.0
816,816,Find the different billing countries for all invoices.,Find the different [MASK] [MASK] for all [MASK],"['Find', 'the', 'different', '[MASK]', '[MASK]', 'for', 'all', '[MASK]']",SELECT distinct(BillingCountry) FROM INVOICE,"['INVOICE', 'BillingCountry']","[('INVOICE', '')]",['BillingCountry'],"distinct,select,from",False,[],,
4613,4613,Please show different types of artworks with the corresponding number of artworks of each type.,Please show different [MASK] of [MASK] with the corresponding number of [MASK] of each [MASK],"['Please', 'show', 'different', '[MASK]', 'of', '[MASK]', 'with', 'the', 'corresponding', 'number', 'of', '[MASK]', 'of', 'each', '[MASK]']","SELECT TYPE ,  COUNT(*) FROM artwork GROUP BY TYPE","['artwork', 'TYPE']","[('artwork', '')]",['TYPE'],"select,count,from,group",False,"['count', 'group']",1.0,1.0
864,864,What are the phone numbers for each employee?,What are the [MASK] numbers for each [MASK],"['What', 'are', 'the', '[MASK]', 'numbers', 'for', 'each', '[MASK]']",SELECT Phone FROM EMPLOYEE,"['EMPLOYEE', 'Phone']","[('EMPLOYEE', '')]",['Phone'],"select,from",False,[],,
3604,3604,"What is the shortest and most poorly rated song for each genre, ordered alphabetically by genre?",What [MASK] the shortest and most poorly rated [MASK] for each [MASK] ordered alphabetically by [MASK],"['What', '[MASK]', 'the', 'shortest', 'and', 'most', 'poorly', 'rated', '[MASK]', 'for', 'each', '[MASK]', 'ordered', 'alphabetically', 'by', '[MASK]']","SELECT min(T1.duration) ,  min(T2.rating) ,  T2.genre_is FROM files AS T1 JOIN song AS T2 ON T1.f_id  =  T2.f_id GROUP BY T2.genre_is ORDER BY T2.genre_is","['song', 'files', 'genre_is', 'f_id', 'duration', 'rating']","[('song', 'T2'), ('files', 'T1')]","['genre_is', 'f_id', 'duration', 'rating']","min,as,group,join,order,select,from",True,"['order', 'min', 'as', 'group', 'join']",1.0,1.0
6204,6204,List the names of roller coasters by ascending order of length.,List the [MASK] of [MASK] [MASK] by ascending order of [MASK],"['List', 'the', '[MASK]', 'of', '[MASK]', '[MASK]', 'by', 'ascending', 'order', 'of', '[MASK]']",SELECT Name FROM roller_coaster ORDER BY LENGTH ASC,"['roller_coaster', 'Name', 'LENGTH']","[('roller_coaster', '')]","['Name', 'LENGTH']","select,asc,order,from",False,"['asc', 'order']",1.0,1.0
7293,7293,Which district has both stores with less than 3000 products and stores with more than 10000 products?,Which [MASK] has both stores with less than 3000 [MASK] and stores with more than 10000 [MASK],"['Which', '[MASK]', 'has', 'both', 'stores', 'with', 'less', 'than', '3000', '[MASK]', 'and', 'stores', 'with', 'more', 'than', '10000', '[MASK]']",SELECT district FROM shop WHERE Number_products  <  3000 INTERSECT SELECT district FROM shop WHERE Number_products  >  10000,"['shop', 'district', 'Number_products']","[('shop', '')]","['district', 'Number_products']","intersect,select,from,where",False,"['where', 'count']",0.5,0.5
7155,7155,What is the horsepower of the car with the largest accelerate?,What is the [MASK] of the [MASK] with the largest [MASK],"['What', 'is', 'the', '[MASK]', 'of', 'the', '[MASK]', 'with', 'the', 'largest', '[MASK]']",SELECT T1.horsepower FROM CARS_DATA AS T1 ORDER BY T1.accelerate DESC LIMIT 1;,"['CARS_DATA', 'accelerate', 'horsepower']","[('CARS_DATA', 'T1')]","['accelerate', 'horsepower']","as,limit,order,select,desc,from",False,"['limit', 'order', 'desc']",0.75,1.0
2120,2120,What is the mail date of the document with id 7?,What is the [MASK] [MASK] of the [MASK] with [MASK] 7?,"['What', 'is', 'the', '[MASK]', '[MASK]', 'of', 'the', '[MASK]', 'with', '[MASK]', '7?']",SELECT mailing_date FROM Documents_Mailed WHERE document_id = 7;,"['Documents_Mailed', 'document_id', 'mailing_date']","[('Documents_Mailed', '')]","['document_id', 'mailing_date']","select,from,where",False,['where'],1.0,1.0
3066,3066,Find the name of bank branch that provided the greatest total amount of loans.,Find the [MASK] of [MASK] [MASK] that provided the greatest total [MASK] of [MASK],"['Find', 'the', '[MASK]', 'of', '[MASK]', '[MASK]', 'that', 'provided', 'the', 'greatest', 'total', '[MASK]', 'of', '[MASK]']",SELECT T1.bname FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id GROUP BY T1.bname ORDER BY sum(T2.amount) DESC LIMIT 1,"['bank', 'loan', 'branch_id', 'amount', 'bname']","[('bank', 'T1'), ('loan', 'T2')]","['branch_id', 'amount', 'bname']","as,group,join,limit,sum,order,select,desc,from",True,"['limit', 'order', 'desc']",0.42857142857142855,1.0
6618,6618,Show station names without any trains.,Show [MASK] [MASK] without any [MASK],"['Show', '[MASK]', '[MASK]', 'without', 'any', '[MASK]']",SELECT name FROM station WHERE station_id NOT IN (SELECT station_id FROM train_station),"['train_station', 'station', 'station_id', 'name']","[('train_station', ''), ('station', '')]","['station_id', 'name']","where,in,not,select,from",False,"['where', 'in', 'not']",1.0,1.0
5693,5693,What are the names of all the dorms that don't have any amenities?,What are the [MASK] of all the [MASK] that don't have any [MASK],"['What', 'are', 'the', '[MASK]', 'of', 'all', 'the', '[MASK]', 'that', ""don't"", 'have', 'any', '[MASK]']",SELECT dorm_name FROM dorm WHERE dormid NOT IN (SELECT dormid FROM has_amenity),"['dorm', 'has_amenity', 'dormid', 'dorm_name']","[('dorm', ''), ('has_amenity', '')]","['dormid', 'dorm_name']","where,in,not,select,from",False,"['where', 'in', 'not']",1.0,1.0
5195,5195,What is the label with the most albums?,What is the [MASK] with the most [MASK],"['What', 'is', 'the', '[MASK]', 'with', 'the', 'most', '[MASK]']",SELECT label FROM albums GROUP BY label ORDER BY count(*) DESC LIMIT 1,"['albums', 'label']","[('albums', '')]",['label'],"group,limit,count,order,select,desc,from",False,"['group', 'limit', 'count', 'order', 'desc']",1.0,1.0
2083,2083,How many pilots are there?,How many [MASK] are there?,"['How', 'many', '[MASK]', 'are', 'there?']",SELECT count(*) FROM pilot,['pilot'],"[('pilot', '')]",[],"select,count,from",False,['count'],1.0,1.0
2406,2406,List all people names in the order of their date of birth from old to young.,List all [MASK] [MASK] in the order [MASK] their [MASK] [MASK] [MASK] from old to young.,"['List', 'all', '[MASK]', '[MASK]', 'in', 'the', 'order', '[MASK]', 'their', '[MASK]', '[MASK]', '[MASK]', 'from', 'old', 'to', 'young.']",SELECT name FROM people ORDER BY date_of_birth,"['people', 'date_of_birth', 'name']","[('people', '')]","['date_of_birth', 'name']","select,order,from",False,"['order', 'desc']",1.0,0.5
6982,6982,"Show all movie titles, years, and directors, ordered by budget.",Show all [MASK] [MASK] [MASK] and [MASK] ordered by [MASK],"['Show', 'all', '[MASK]', '[MASK]', '[MASK]', 'and', '[MASK]', 'ordered', 'by', '[MASK]']","SELECT title ,  YEAR ,  director FROM movie ORDER BY budget_million","['movie', 'budget_million', 'director', 'YEAR', 'title']","[('movie', '')]","['budget_million', 'director', 'YEAR', 'title']","select,order,from",False,['order'],1.0,1.0
1458,1458,Find the name and salary of instructors whose salary is below the average salary of the instructors in the Physics department.,Find the [MASK] and [MASK] of [MASK] whose [MASK] is below the average [MASK] of the [MASK] in the Physics [MASK],"['Find', 'the', '[MASK]', 'and', '[MASK]', 'of', '[MASK]', 'whose', '[MASK]', 'is', 'below', 'the', 'average', '[MASK]', 'of', 'the', '[MASK]', 'in', 'the', 'Physics', '[MASK]']","SELECT name ,  salary FROM instructor WHERE salary  <  (SELECT avg(salary) FROM instructor WHERE dept_name  =  'Physics')","['instructor', 'salary', 'dept_name', 'name']","[('instructor', '')]","['salary', 'dept_name', 'name']","select,avg,from,where",False,"['avg', 'where']",1.0,1.0
1716,1716,Find the names of users who did not leave any review.,Find the [MASK] of [MASK] who did not leave any [MASK],"['Find', 'the', '[MASK]', 'of', '[MASK]', 'who', 'did', 'not', 'leave', 'any', '[MASK]']",SELECT name FROM useracct WHERE u_id NOT IN (SELECT u_id FROM review),"['review', 'useracct', 'u_id', 'name']","[('review', ''), ('useracct', '')]","['u_id', 'name']","where,in,not,select,from",False,"['where', 'in', 'not']",1.0,1.0
3967,3967,"Tell me the highest, lowest, and average cost of procedures.","Tell me the highest, lowest, and average [MASK] of [MASK]","['Tell', 'me', 'the', 'highest,', 'lowest,', 'and', 'average', '[MASK]', 'of', '[MASK]']","SELECT MAX(cost) ,  MIN(cost) ,  AVG(cost) FROM procedures","['procedures', 'cost']","[('procedures', '')]",['cost'],"min,avg,select,from,max",False,"['min', 'avg', 'max']",1.0,1.0
3927,3927,Find the name of the nurse who has the largest number of appointments.,Find the [MASK] of the [MASK] who has the largest number of [MASK],"['Find', 'the', '[MASK]', 'of', 'the', '[MASK]', 'who', 'has', 'the', 'largest', 'number', 'of', '[MASK]']",SELECT T1.name FROM nurse AS T1 JOIN appointment AS T2 ON T1.employeeid  =  T2.prepnurse GROUP BY T1.employeeid ORDER BY count(*) DESC LIMIT 1,"['nurse', 'appointment', 'employeeid', 'prepnurse', 'name']","[('nurse', 'T1'), ('appointment', 'T2')]","['employeeid', 'prepnurse', 'name']","as,group,join,limit,count,order,select,desc,from",True,"['limit', 'order', 'desc', 'group', 'count']",0.7142857142857143,1.0
1378,1378,List the names and buildings of all departments sorted by the budget from large to small.,List the [MASK] and [MASK] of all [MASK] sorted by the [MASK] from large to small.,"['List', 'the', '[MASK]', 'and', '[MASK]', 'of', 'all', '[MASK]', 'sorted', 'by', 'the', '[MASK]', 'from', 'large', 'to', 'small.']","SELECT dept_name ,  building FROM department ORDER BY budget DESC","['department', 'budget', 'building', 'dept_name']","[('department', '')]","['budget', 'building', 'dept_name']","select,order,desc,from",False,"['order', 'desc']",1.0,1.0
6940,6940,What are the names of the customers who have made two or less orders?,What are the [MASK] of the [MASK] who have made two or less [MASK],"['What', 'are', 'the', '[MASK]', 'of', 'the', '[MASK]', 'who', 'have', 'made', 'two', 'or', 'less', '[MASK]']",SELECT T2.customer_name FROM orders AS T1 JOIN customers AS T2 ON T1.customer_id = T2.customer_id GROUP BY T2.customer_id HAVING count(*)  <=  2,"['customers', 'orders', 'customer_id', 'customer_name']","[('customers', 'T2'), ('orders', 'T1')]","['customer_id', 'customer_name']","as,group,join,count,having,select,from",True,"['as', 'group', 'join', 'count', 'having']",1.0,1.0
988,988,Return the highest acc percent across all basketball matches.,Return the highest [MASK] [MASK] across all [MASK] [MASK],"['Return', 'the', 'highest', '[MASK]', '[MASK]', 'across', 'all', '[MASK]', '[MASK]']",SELECT acc_percent FROM basketball_match ORDER BY acc_percent DESC LIMIT 1,"['basketball_match', 'acc_percent']","[('basketball_match', '')]",['acc_percent'],"limit,order,select,desc,from",False,"['limit', 'order', 'desc']",1.0,1.0
5213,5213,"How many different instruments are used in the song ""Le Pop""?","How many different [MASK] are used in the [MASK] ""Le Pop""?","['How', 'many', 'different', '[MASK]', 'are', 'used', 'in', 'the', '[MASK]', '""Le', 'Pop""?']","SELECT count(DISTINCT instrument) FROM instruments AS T1 JOIN songs AS T2 ON T1.songid  =  T2.songid WHERE title  =  ""Le Pop""","['songs', 'instruments', 'songid', 'instrument', 'title', 'Le Pop']","[('songs', 'T2'), ('instruments', 'T1')]","['songid', 'instrument', 'title', 'Le Pop']","distinct,as,join,count,where,select,from",True,"['as', 'join', 'where']",0.6,1.0
4024,4024,List the name of ships that are not involved in any mission,List the [MASK] of [MASK] that are not involved in any [MASK],"['List', 'the', '[MASK]', 'of', '[MASK]', 'that', 'are', 'not', 'involved', 'in', 'any', '[MASK]']",SELECT Name FROM ship WHERE Ship_ID NOT IN (SELECT Ship_ID FROM mission),"['ship', 'mission', 'Name', 'Ship_ID']","[('ship', ''), ('mission', '')]","['Name', 'Ship_ID']","where,in,not,select,from",False,"['where', 'in', 'not']",1.0,1.0
2077,2077,What is the name of member in charge of greatest number of events?,What is the [MASK] of [MASK] [MASK] [MASK] of greatest [MASK] of [MASK],"['What', 'is', 'the', '[MASK]', 'of', '[MASK]', '[MASK]', '[MASK]', 'of', 'greatest', '[MASK]', 'of', '[MASK]']",SELECT T1.member_name FROM member AS T1 JOIN party_events AS T2 ON T1.member_id  =  T2.member_in_charge_id GROUP BY T2.member_in_charge_id ORDER BY count(*) DESC LIMIT 1,"['member', 'party_events', 'member_in_charge_id', 'member_id', 'member_name']","[('member', 'T1'), ('party_events', 'T2')]","['member_in_charge_id', 'member_id', 'member_name']","as,group,join,limit,count,order,select,desc,from",True,"['as', 'limit', 'order', 'desc']",0.5714285714285714,1.0
268,268,List the name of musicals that do not have actors.,List the [MASK] of [MASK] that do not have [MASK],"['List', 'the', '[MASK]', 'of', '[MASK]', 'that', 'do', 'not', 'have', '[MASK]']",SELECT Name FROM musical WHERE Musical_ID NOT IN (SELECT Musical_ID FROM actor),"['actor', 'musical', 'Name', 'Musical_ID']","[('actor', ''), ('musical', '')]","['Name', 'Musical_ID']","where,in,not,select,from",False,"['where', 'in', 'not']",1.0,1.0
5828,5828,Show the most common college of authors of submissions.,Show the most common [MASK] of authors of [MASK],"['Show', 'the', 'most', 'common', '[MASK]', 'of', 'authors', 'of', '[MASK]']",SELECT College FROM submission GROUP BY College ORDER BY COUNT(*) DESC LIMIT 1,"['submission', 'College']","[('submission', '')]",['College'],"group,limit,count,order,select,desc,from",False,"['group', 'limit', 'count', 'order', 'desc']",1.0,1.0
